Time,Red Objects,Yellow Objects,Green Objects,Total Energy (Red),Total Energy (Yellow),Total Energy (Green)
1,20,19,29,2025.8000000000043,1948.6000000000029,2847.800000000003
2,20,19,29,1965.8000000000077,1910.400000000005,2804.3000000000056
3,20,18,26,1999.2000000000114,2066.6500000000074,2475.200000000007
4,20,20,24,1939.2000000000148,2359.5500000000106,2248.8000000000084
5,22,19,24,2103.95000000002,2229.6500000000124,2212.8000000000106
6,22,19,24,2037.9500000000235,2190.350000000015,2176.800000000013
7,22,21,23,1971.950000000027,2376.100000000018,2051.600000000014
8,22,21,23,1905.950000000031,2334.100000000021,2017.100000000016
9,22,21,23,1839.9500000000346,2292.100000000023,1982.600000000018
10,22,21,23,1773.9500000000385,2250.1000000000254,1948.10000000002
11,22,21,23,1707.950000000042,2208.1000000000276,1913.600000000022
12,22,21,23,1641.950000000045,2166.1000000000304,1879.100000000024
13,22,21,23,1575.950000000045,2122.5000000000327,1844.6000000000258
14,22,21,23,1509.9500000000448,2080.500000000035,1810.1000000000279
15,24,22,21,1620.600000000049,2248.3000000000397,1621.200000000027
16,24,24,19,1529.4000000000494,2445.2000000000485,1430.7000000000266
17,24,24,19,1457.4000000000497,2395.6000000000513,1402.2000000000282
18,24,24,19,1385.4000000000499,2347.6000000000527,1373.7000000000298
19,24,24,19,1313.40000000005,2299.600000000054,1345.2000000000317
20,24,24,18,1241.4000000000503,2321.900000000057,1247.4000000000315
21,24,26,17,1169.4000000000506,2467.775000000063,1152.600000000031
22,24,26,16,1097.4000000000508,2482.4250000000666,1060.8000000000306
23,24,26,16,1025.4000000000513,2428.0250000000683,1036.800000000032
24,24,24,14,1152.8500000000563,2308.025000000069,886.2000000000291
25,24,24,12,1080.850000000057,2385.175000000075,741.6000000000261
26,24,24,12,1008.8500000000573,2336.875000000077,723.6000000000271
27,24,25,11,981.3500000000596,2421.737500000083,646.8000000000258
28,24,25,10,909.3500000000605,2429.587500000087,573.0000000000243
29,24,25,9,837.3500000000616,2436.1875000000914,502.2000000000226
30,24,25,9,765.3500000000624,2383.887500000093,488.70000000002335
31,24,25,9,693.3500000000629,2333.8875000000953,475.20000000002415
32,24,25,9,621.3500000000633,2283.887500000097,461.70000000002494
33,24,25,9,549.3500000000637,2233.887500000099,448.2000000000257
34,7,27,57,535.1500000000401,2544.5375000001072,5212.900000000028
35,9,30,54,714.8687500000517,2912.000000000112,4836.400000000032
36,9,31,51,714.0687500000539,3246.675000000116,4468.900000000036
37,9,37,48,687.0687500000546,3863.2687500001302,4110.40000000004
38,11,36,47,847.0187500000661,3809.6187500001297,3945.900000000043
39,11,37,45,833.8187500000686,4041.075000000136,3693.400000000046
40,11,39,44,800.8187500000696,4167.6031250001415,3536.400000000049
41,11,41,42,767.8187500000706,4398.46562500015,3294.4000000000515
42,11,45,38,734.8187500000716,4845.893750000165,2935.600000000049
43,11,49,35,701.8187500000727,5173.843750000181,2673.800000000047
44,11,49,34,668.8187500000737,5158.343750000186,2537.800000000049
45,11,50,32,692.9687500000795,5220.850000000194,2373.000000000047
46,11,50,31,659.9687500000806,5201.8500000001995,2244.500000000048
47,11,52,29,626.9687500000816,5364.100000000214,2040.0000000000477
48,11,54,27,593.9687500000823,5472.181250000229,1891.7000000000446
49,15,48,25,950.8601562501048,5327.025000000226,1699.2000000000437
